API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Aug 23 14:44:05 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: International Space Station (spacecraft) (-125544) {source: iss}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Aug-24 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Aug-27 00:00:00.0000 TDB
Step-size       : 2 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260821.p261117
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-21. PREDICTS-> 2026-NOV-16
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461276.572222222, A.D. 2026-Aug-24 01:44:00.0000, -1.529668844293060E+03,  5.172674712006202E+03,  4.120331416378282E+03, -6.578713642049627E+00,  1.084639533223105E+00, -3.785944006999118E+00,
2461276.573611111, A.D. 2026-Aug-24 01:46:00.0000, -2.302705887166813E+03,  5.255095239044332E+03,  3.629594355747711E+03, -6.285548422723310E+00,  2.869350078392615E-01, -4.380497183244191E+00,
2461276.575000000, A.D. 2026-Aug-24 01:48:00.0000, -3.033596917256059E+03,  5.241331070098365E+03,  3.072234451022784E+03, -5.877355808723149E+00, -5.159815038210110E-01, -4.894616263654575E+00,
2461276.576388889, A.D. 2026-Aug-24 01:50:00.0000, -3.708969026715426E+03,  5.131642295725223E+03,  2.458487150510227E+03, -5.361657087170717E+00, -1.309354758465645E+00, -5.318841428052612E+00,
2461276.577777778, A.D. 2026-Aug-24 01:52:00.0000, -4.316473545416709E+03,  4.928052565699850E+03,  1.799624863823999E+03, -4.747975566814332E+00, -2.078595042143006E+00, -5.645379225748379E+00,
2461276.579166667, A.D. 2026-Aug-24 01:54:00.0000, -4.845016184256710E+03,  4.634312374225619E+03,  1.107747296189895E+03, -4.047660760239772E+00, -2.809558602875724E+00, -5.868258125763202E+00,
2461276.580555555, A.D. 2026-Aug-24 01:56:00.0000, -5.284963590846885E+03,  4.255828958627731E+03,  3.955552619734551E+02, -3.273671900143361E+00, -3.488822141129592E+00, -5.983447479191332E+00,
2461276.581944444, A.D. 2026-Aug-24 01:58:00.0000, -5.628321687409259E+03,  3.799563989082277E+03, -3.238873420621374E+02, -2.440325308520478E+00, -4.103943689103953E+00, -5.988935436813977E+00,
2461276.583333333, A.D. 2026-Aug-24 02:00:00.0000, -5.868881824617718E+03,  3.273901149893007E+03, -1.037398280879184E+03, -1.563012049493844E+00, -4.643702311920147E+00, -5.884762902031305E+00,
2461276.584722222, A.D. 2026-Aug-24 02:02:00.0000, -6.002331657100866E+03,  2.688486583564134E+03, -1.731923085807027E+03, -6.578938404386547E-01, -5.098309779918409E+00, -5.673012484647718E+00,
