API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Sep  1 12:09:11 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2041-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2045-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260831.p261127
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-31. PREDICTS-> 2026-NOV-26
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2466572.500000000, A.D. 2041-Feb-22 00:00:00.0000, -3.036346550313198E+05, -2.275646956314077E+05, -9.298799146967893E+04,  6.679420343897877E-01, -6.473080623724887E-01, -3.763164058417598E-01,
2466573.500000000, A.D. 2041-Feb-23 00:00:00.0000, -2.387009951322052E+05, -2.771586484437127E+05, -1.228300020555844E+05,  8.297898161528920E-01, -4.948653307852505E-01, -3.111132254514201E-01,
2466574.500000000, A.D. 2041-Feb-24 00:00:00.0000, -1.613204699853269E+05, -3.121478869543010E+05, -1.461971258028623E+05,  9.543700300138059E-01, -3.102279498194077E-01, -2.268117794563227E-01,
2466575.500000000, A.D. 2041-Feb-25 00:00:00.0000, -7.514613682213848E+04, -3.300449919680094E+05, -1.615563018201517E+05,  1.031752070685722E+00, -1.006507872831786E-01, -1.263544631017368E-01,
2466576.500000000, A.D. 2041-Feb-26 00:00:00.0000,  1.534985185057594E+04, -3.291106143994365E+05, -1.676932574381252E+05,  1.053087219386881E+00,  1.237435965203054E-01, -1.422252742604664E-02,
2466577.500000000, A.D. 2041-Feb-27 00:00:00.0000,  1.050245366571195E+05, -3.086118721143053E+05, -1.638548881014048E+05,  1.011965969135674E+00,  3.497922292285537E-01,  1.033765480550349E-01,
2466578.500000000, A.D. 2041-Feb-28 00:00:00.0000,  1.883501251232722E+05, -2.690707130258996E+05, -1.498966489390642E+05,  9.062056199465410E-01,  5.617653176867368E-01,  2.186183311161253E-01,
2466579.500000000, A.D. 2041-Mar-01 00:00:00.0000,  2.598578873977867E+05, -2.124300861790192E+05, -1.263998048629963E+05,  7.396060254296348E-01,  7.428356372081378E-01,  3.226786116936259E-01,
2466580.500000000, A.D. 2041-Mar-02 00:00:00.0000,  3.147034504826448E+05, -1.420480156417697E+05, -9.471021567945933E+04,  5.228506173984458E-01,  8.775460293550065E-01,  4.069200312755071E-01,
2466581.500000000, A.D. 2041-Mar-03 00:00:00.0000,  3.492425895785938E+05, -6.245526460530048E+04, -5.685786117299446E+04,  2.727501763490496E-01,  9.546581269402463E-01,  4.643940335301600E-01,
2466582.500000000, A.D. 2041-Mar-04 00:00:00.0000,  3.614612959590253E+05,  2.111052919736601E+04, -1.535215651014189E+04,  9.684676082465331E-03,  9.692841955295457E-01,  4.911115196177973E-01,
2466583.500000000, A.D. 2041-Mar-05 00:00:00.0000,  3.511341344545925E+05,  1.032881824497358E+05,  2.710238536018753E+04, -2.459188934980922E-01,  9.233763577058340E-01,  4.865509004875673E-01,
2466584.500000000, A.D. 2041-Mar-06 00:00:00.0000,  3.196859612953265E+05,  1.791406559674736E+05,  6.789429273941088E+04, -4.767079379149607E-01,  8.244792357885936E-01,  4.532555620558637E-01,
2466585.500000000, A.D. 2041-Mar-07 00:00:00.0000,  2.698401962012827E+05,  2.445451354583433E+05,  1.047290727559501E+05, -6.701257101713862E-01,  6.834968445722174E-01,  3.958282256550359E-01,
2466586.500000000, A.D. 2041-Mar-08 00:00:00.0000,  2.051866960004216E+05,  2.963840325706367E+05,  1.357581188755898E+05, -8.185978739380322E-01,  5.124658050531150E-01,  3.198155650184676E-01,
2466587.500000000, A.D. 2041-Mar-09 00:00:00.0000,  1.297822441996883E+05,  3.325689235081942E+05,  1.596205114697572E+05, -9.187047481625652E-01,  3.229779237289018E-01,  2.308475344558701E-01,
2466588.500000000, A.D. 2041-Mar-10 00:00:00.0000,  4.784195961029964E+04,  3.519628011148809E+05,  1.754265765937253E+05, -9.700046414061496E-01,  1.253925094882354E-01,  1.341515062674259E-01,
2466589.500000000, A.D. 2041-Mar-11 00:00:00.0000, -3.647038965683991E+04,  3.542624654163522E+05,  1.827139640041312E+05, -9.739756076226872E-01, -7.134201073301258E-02,  3.438402597643087E-02,
2466590.500000000, A.D. 2041-Mar-12 00:00:00.0000, -1.191738567509181E+05,  3.398820872289369E+05,  1.813985662742768E+05, -9.332783038184090E-01, -2.595258752272961E-01, -6.434122508017202E-02,
2466591.500000000, A.D. 2041-Mar-13 00:00:00.0000, -1.965530626142144E+05,  3.098571515650377E+05,  1.717321744272184E+05, -8.513585877943366E-01, -4.324291859117704E-01, -1.583415398976436E-01,
2466592.500000000, A.D. 2041-Mar-14 00:00:00.0000, -2.652189615606835E+05,  2.657720522945846E+05,  1.542704782550087E+05, -7.323212434912242E-01, -5.840410292027803E-01, -2.442477435459721E-01,
2466593.500000000, A.D. 2041-Mar-15 00:00:00.0000, -3.221670165458864E+05,  2.097051911903508E+05,  1.298496986191840E+05, -5.809801343634948E-01, -7.089235147919267E-01, -3.189272523599392E-01,
2466594.500000000, A.D. 2041-Mar-16 00:00:00.0000, -3.648439209496864E+05,  1.441809438387768E+05,  9.956725151065001E+04, -4.029909377970375E-01, -8.022007456984940E-01, -3.794697846945762E-01,
2466595.500000000, A.D. 2041-Mar-17 00:00:00.0000, -3.912263005057276E+05,  7.211674964367265E+04,  6.476071558401248E+04, -2.049829480056483E-01, -8.596800057971840E-01, -4.232404818453159E-01,
2466596.500000000, A.D. 2041-Mar-18 00:00:00.0000, -3.999082547376157E+05, -3.245063146927278E+03,  2.697958060465463E+04,  5.377724079250763E-03, -8.780775831769526E-01, -4.479913708196530E-01,
2466597.500000000, A.D. 2041-Mar-19 00:00:00.0000, -3.901896802690588E+05, -7.842788661642070E+04, -1.205446721969307E+04,  2.194384347730242E-01, -8.553036416092739E-01, -4.520112419387017E-01,
2466598.500000000, A.D. 2041-Mar-20 00:00:00.0000, -3.621546726440649E+05, -1.498366946826861E+05, -5.050094417606678E+04,  4.277393967371186E-01, -7.907532102638561E-01, -4.342881105140843E-01,
2466599.500000000, A.D. 2041-Mar-21 00:00:00.0000, -3.167292547015193E+05, -2.138976122328992E+05, -8.646765281445913E+04,  6.203085476492083E-01, -6.855578468401450E-01, -3.946600891621875E-01,
2466600.500000000, A.D. 2041-Mar-22 00:00:00.0000, -2.557097518405153E+05, -2.672165615726828E+05, -1.180897250691526E+05,  7.870404852707926E-01, -5.427737537874491E-01, -3.339400027338926E-01,
2466601.500000000, A.D. 2041-Mar-23 00:00:00.0000, -1.817558517024545E+05, -3.067513849412887E+05, -1.436182030639743E+05,  9.181321427239131E-01, -3.675075836277543E-01, -2.540123425179571E-01,
2466602.500000000, A.D. 2041-Mar-24 00:00:00.0000, -9.834369795693694E+04, -3.299926863381574E+05, -1.615160666478163E+05,  1.004575534003279E+00, -1.669948081365764E-01, -1.579101099284974E-01,
2466603.500000000, A.D. 2041-Mar-25 00:00:00.0000, -9.672654249010769E+03, -3.351495473342566E+05, -1.705601998770187E+05,  1.038747022528424E+00,  4.936883952706094E-02, -4.987458846889047E-02,
2466604.500000000, A.D. 2041-Mar-26 00:00:00.0000,  7.948530951514043E+04, -3.213343981038767E+05, -1.699471635325132E+05,  1.015156741242704E+00,  2.700925754443851E-01,  6.462284414552648E-02,
2466605.500000000, A.D. 2041-Mar-27 00:00:00.0000,  1.640094848560005E+05, -2.887338352910205E+05, -1.593971546364245E+05,  9.313945088324089E-01,  4.818781604694528E-01,  1.789585987554752E-01,
2466606.500000000, A.D. 2041-Mar-28 00:00:00.0000,  2.387423967063175E+05, -2.387382903911350E+05, -1.392433503426067E+05,  7.891963363187364E-01,  6.703182669186548E-01,  2.856363899693501E-01,
2466607.500000000, A.D. 2041-Mar-29 00:00:00.0000,  2.988901539938049E+05, -1.739872443522361E+05, -1.104844783489427E+05,  5.953599495660515E-01,  8.211709342356226E-01,  3.768727471583436E-01,
2466608.500000000, A.D. 2041-Mar-30 00:00:00.0000,  3.404790402443287E+05, -9.827906398209462E+04, -7.477219711081554E+04,  3.620437365947192E-01,  9.221904808101082E-01,  4.455123731810331E-01,
2466609.500000000, A.D. 2041-Mar-31 00:00:00.0000,  3.607934280404850E+05, -1.631019398364274E+04, -3.430976646710752E+04,  1.059722915551163E-01,  9.651554521265363E-01,  4.861241634859403E-01,
2466610.500000000, A.D. 2041-Apr-01 00:00:00.0000,  3.586906700175368E+05,  6.674574467520391E+04,  8.340210096581020E+03, -1.535944923566513E-01,  9.474212414425841E-01,  4.959442612293208E-01,
2466611.500000000, A.D. 2041-Apr-02 00:00:00.0000,  3.347012769571521E+05,  1.457474173748348E+05,  5.050906368778765E+04, -3.976746168122922E-01,  8.723321125888276E-01,  4.752926335704102E-01,
2466612.500000000, A.D. 2041-Apr-03 00:00:00.0000,  2.908847208584811E+05,  2.160714522030989E+05,  8.968104457407739E+04, -6.102402937211771E-01,  7.482763821396108E-01,  4.272854963815730E-01,
2466613.500000000, A.D. 2041-Apr-04 00:00:00.0000,  2.304925090400994E+05,  2.739706928213621E+05,  1.237012246733483E+05, -7.798947496360322E-01,  5.867929254764687E-01,  3.569894840901846E-01,
2466614.500000000, A.D. 2041-Apr-05 00:00:00.0000,  1.575435379754862E+05,  3.167550446001613E+05,  1.508990854505245E+05, -9.002280147158884E-01,  4.004883124736432E-01,  2.703825442360366E-01,
2466615.500000000, A.D. 2041-Apr-06 00:00:00.0000,  7.641737873178154E+04,  3.428087245208586E+05,  1.701271448478723E+05, -9.691280486822494E-01,  2.014120548604106E-01,  1.734729124533410E-01,
2466616.500000000, A.D. 2041-Apr-07 00:00:00.0000, -8.467820979876924E+03,  3.514980025849289E+05,  1.807374205262598E+05, -9.876072671563707E-01,  1.577248306740009E-04,  7.175396064388122E-02,
2466617.500000000, A.D. 2041-Apr-08 00:00:00.0000, -9.287374649833220E+04,  3.430307565178841E+05,  1.825256979769589E+05, -9.586418770672139E-01, -1.943853949322226E-01, -3.000735876604945E-02,
2466618.500000000, A.D. 2041-Apr-09 00:00:00.0000, -1.728714087106276E+05,  3.183143842567746E+05,  1.756684804576857E+05, -8.863014571201835E-01, -3.748648076568940E-01, -1.277482863393969E-01,
2466619.500000000, A.D. 2041-Apr-10 00:00:00.0000, -2.449112425838424E+05,  2.788373816893757E+05,  1.606677102648723E+05, -7.752447350154728E-01, -5.351196573307102E-01, -2.179705585593544E-01,
2466620.500000000, A.D. 2041-Apr-11 00:00:00.0000, -3.058642112066569E+05,  2.265818912149573E+05,  1.383092061416043E+05, -6.305402985698194E-01, -6.698317710609679E-01, -2.975751743608958E-01,
2466621.500000000, A.D. 2041-Apr-12 00:00:00.0000, -3.530583795611248E+05,  1.639625650689751E+05,  1.096342088586977E+05, -4.577250722566703E-01, -7.742782875561482E-01, -3.637319186689297E-01,
2466622.500000000, A.D. 2041-Apr-13 00:00:00.0000, -3.843273225269323E+05,  9.378026295482734E+04,  7.591934286812808E+04, -2.630035642171020E-01, -8.442418911964811E-01, -4.138194085773061E-01,
2466623.500000000, A.D. 2041-Apr-14 00:00:00.0000, -3.980783343817288E+05,  1.917576699981935E+04,  3.865797940058754E+04, -5.349080162267872E-02, -8.761017260583944E-01, -4.454545850419831E-01,
2466624.500000000, A.D. 2041-Apr-15 00:00:00.0000, -3.933800087189433E+05, -5.643209964687248E+04, -4.650364736335339E+02,  1.625984392379073E-01, -8.671002806865465E-01, -4.566163659039634E-01,
2466625.500000000, A.D. 2041-Apr-16 00:00:00.0000, -3.700604167578855E+05, -1.294378345851354E+05, -3.961305599219260E+04,  3.759084261963438E-01, -8.157499067574386E-01, -4.458517290023495E-01,
2466626.500000000, A.D. 2041-Apr-17 00:00:00.0000, -3.287995647385989E+05, -1.961792955031789E+05, -7.685760351151915E+04,  5.761263512735586E-01, -7.223066112416747E-01, -4.125327423788973E-01,
